PROCDATE  JOB       FILTER  OBSID   SCANUM  FIELD     MJD      
20250927  jid80269  R062    27743   7        5297558  62360.094
20250927  jid80270  R062    27748   1        5297558  62360.110
20250927  jid80271  R062    28138   10       5297558  62365.126
20250927  jid80272  R062    28133   4        5297558  62365.110
20250927  jid80273  R062    28143   17       5297558  62365.142
20250927  jid80274  R062    28523   1        5297558  62370.126
20250927  jid80275  R062    28903   9        5297558  62375.110
20250927  jid80276  R062    28908   4        5297558  62375.126
20250927  jid80277  R062    29678   9        5297558  62385.126
20250927  jid80366  R062    3107    15       5321341  62040.107
20250927  jid80367  R062    3112    5        5321341  62040.123
20250927  jid80368  R062    3492    15       5321341  62045.107
20250927  jid80369  R062    3497    6        5321341  62045.123
20250927  jid80370  R062    7722    1        5321341  62100.091
20250927  jid80371  R062    13887   6        5321341  62180.107
20250927  jid80372  R062    14272   6        5321341  62185.107
20250927  jid80373  R062    14282   18       5321341  62185.139
20250927  jid80374  R062    14662   11       5321341  62190.123
20250927  jid80375  R062    15817   1        5321341  62205.123
20250927  jid80376  R062    16582   12       5321341  62215.107
20250927  jid80377  R062    16972   5        5321341  62220.123
20250927  jid80378  R062    17352   15       5321341  62225.107
20250927  jid80379  R062    17737   15       5321341  62230.107
20250927  jid80380  R062    17742   6        5321341  62230.123
20250927  jid80381  R062    18891   7        5321341  62245.104
20250927  jid80382  R062    21192   7        5321341  62275.075
20250927  jid80383  R062    21577   8        5321341  62280.075
20250927  jid80384  R062    21962   6        5321341  62285.075
20250927  jid80385  R062    23892   13       5321341  62310.091
20250927  jid80386  R062    21967   1        5321341  62285.091
20250927  jid80387  R062    26592   8        5321341  62345.107
20250927  jid80388  R062    28132   6        5321341  62365.107
20250927  jid80389  R062    25823   18       5321341  62335.110
20250927  jid80390  R062    28137   12       5321341  62365.123
20250927  jid80391  R062    28517   6        5321341  62370.107
20250927  jid80392  R062    28522   11       5321341  62370.123
20250927  jid80393  R062    28527   17       5321341  62370.139
20250927  jid80394  R062    28907   11       5321341  62375.123
20250927  jid80395  R062    29287   3        5321341  62380.107
20250927  jid80396  R062    29677   1        5321341  62385.123
20250927  jid80397  R062    30062   1        5321341  62390.123
20250927  jid80398  R062    30442   12       5321341  62395.107
20250927  jid80542  R062    5026    4        5325281  62065.088
20250927  jid80543  R062    5797    16       5325281  62075.091
20250927  jid80544  R062    5791    8        5325281  62075.072
20250927  jid80545  R062    6952    13       5325281  62090.091
20250927  jid80546  R062    6942    7        5325281  62090.059
20250927  jid80547  R062    7327    9        5325281  62095.059
20250927  jid80548  R062    7337    13       5325281  62095.091
20250927  jid80549  R062    7722    13       5325281  62100.091
20250927  jid80550  R062    8877    16       5325281  62115.091
20250927  jid80551  R062    8878    7        5325281  62115.094
20250927  jid80552  R062    9648    2        5325281  62125.094
20250927  jid80553  R062    10803   17       5325281  62140.094
20250927  jid80554  R062    10813   9        5325281  62140.126
20250927  jid80555  R062    11198   6        5325281  62145.126
20250927  jid80556  R062    12353   13       5325281  62160.126
20250927  jid80557  R062    12358   15       5325281  62160.142
20250927  jid80558  R062    12743   17       5325281  62165.142
20250927  jid80559  R062    13122   9        5325281  62170.123
20250927  jid80560  R062    13512   3        5325281  62175.139
20250927  jid80561  R062    13892   5        5325281  62180.123
20250927  jid80562  R062    14277   5        5325281  62185.123
20250927  jid80563  R062    14287   17       5325281  62185.155
20250927  jid80564  R062    14662   5        5325281  62190.123
20250927  jid80565  R062    15047   5        5325281  62195.123
20250927  jid80566  R062    16201   17       5325281  62210.120
20250927  jid80567  R062    15821   16       5325281  62205.136
20250927  jid80568  R062    16202   9        5325281  62210.123
20250927  jid80569  R062    16966   17       5325281  62220.104
20250927  jid80570  R062    16586   13       5325281  62215.120
20250927  jid80571  R062    17351   13       5325281  62225.104
20250927  jid80572  R062    19651   7        5325281  62255.072
20250927  jid80573  R062    20042   16       5325281  62260.091
20250927  jid80574  R062    20812   13       5325281  62270.091
20250927  jid80575  R062    21187   8        5325281  62275.059
20250927  jid80576  R062    21192   1        5325281  62275.075
20250927  jid80577  R062    21197   13       5325281  62275.091
20250927  jid80578  R062    21582   13       5325281  62280.091
20250927  jid80579  R062    21962   12       5325281  62285.075
20250927  jid80580  R062    21967   13       5325281  62285.091
20250927  jid80581  R062    23118   6        5325281  62300.078
20250927  jid80582  R062    23122   16       5325281  62300.091
20250927  jid80583  R062    23508   5        5325281  62305.094
20250927  jid80584  R062    23893   2        5325281  62310.094
20250927  jid80585  R062    24283   5        5325281  62315.110
20250927  jid80586  R062    24668   2        5325281  62320.110
20250927  jid80587  R062    25828   11       5325281  62335.126
20250927  jid80588  R062    27367   9        5325281  62355.123
20250927  jid80589  R062    28142   11       5325281  62365.139
20250927  jid80590  R062    28137   5        5325281  62365.123
20250927  jid80591  R062    28147   18       5325281  62365.155
20250927  jid80592  R062    28522   5        5325281  62370.123
20250927  jid80593  R062    28527   10       5325281  62370.139
20250927  jid80594  R062    28907   5        5325281  62375.123
20250927  jid80595  R062    30061   18       5325281  62390.120
20250927  jid80596  R062    30062   9        5325281  62390.123
20250927  jid80719  R062    3111    1        5325283  62040.120
20250927  jid80720  R062    4646    6        5325283  62060.104
20250927  jid80721  R062    5411    6        5325283  62070.088
20250927  jid80722  R062    6952    16       5325283  62090.091
20250927  jid80723  R062    7327    5        5325283  62095.059
20250927  jid80724  R062    7332    10       5325283  62095.075
20250927  jid80725  R062    7712    3        5325283  62100.059
20250927  jid80726  R062    8483    9        5325283  62110.061
20250927  jid80727  R062    8488    7        5325283  62110.078
20250927  jid80728  R062    8873    5        5325283  62115.078
20250927  jid80729  R062    9643    15       5325283  62125.078
20250927  jid80730  R062    10813   8        5325283  62140.126
20250927  jid80731  R062    10803   16       5325283  62140.094
20250927  jid80732  R062    11198   5        5325283  62145.126
20250927  jid80733  R062    11968   10       5325283  62155.126
20250927  jid80734  R062    11973   3        5325283  62155.142
